assessmentId,internalTaxonId,scientificName,redlistCategory,yearPublished,assessmentDate,populationTrend,systems,realm,scopes
1642310,180518,Actinopyga echinites,Vulnerable,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine,Afrotropical|Neotropical,Global
1646550,180566,Aplocheilus dayi,Endangered,2019,2019-08-01 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1662013,180780,Rhodeus laoensis,Vulnerable,2012,2011-01-21 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1662184,180781,Pterocryptis inusitata,Endangered,2012,2011-03-21 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1670425,180855,Clarias batu,Critically Endangered,2019,2019-01-17 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1677819,18091,Potamilus capax,Vulnerable,2012,2012-06-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1679325,180931,Schistura quasimodo,Endangered,2012,2011-01-19 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1680115,180938,Poropuntius bolovenensis,Endangered,2012,2011-03-09 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1681693,180953,Rhinogobius lineatus,Endangered,2012,2011-11-11 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1687703,181006,Schistura atra,Vulnerable,2012,2011-01-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1691255,181035,Hemimyzon confluens,Vulnerable,2012,2011-01-19 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1695062,181070,Rhinogobius albimaculatus,Vulnerable,2012,2011-11-11 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1696268,181081,Oreoglanis heteropogon,Endangered,2012,2011-01-19 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1705478,181163,Schistura kontumensis,Vulnerable,2013,2011-11-15 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1709446,181206,Barbodes dunckeri,Endangered,2019,2018-12-24 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1725896,18136,Prietella phreatophila,Vulnerable,2019,2018-11-15 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),,Global
1728224,18182,Probarbus jullieni,Critically Endangered,2019,2019-01-29 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1772865,185152,Lupinoblennius paivai,Endangered,2014,2011-03-25 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)|Marine,Neotropical,Global
1797817,185977,Elacatinus atronasus,Endangered,2015,2011-03-22 00:00:00 UTC,Decreasing,Marine,Neotropical,Global & Caribbean
1803985,186014,Gobiosoma hildebrandi,Vulnerable,2015,2007-05-23 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)|Marine,Neotropical,Global & Caribbean
1804288,186016,Gobiosoma spilotum,Endangered,2015,2011-03-24 00:00:00 UTC,Decreasing,Marine,Neotropical,Global & Caribbean
1809709,186065,Diasporus ventrimaculatus,Vulnerable,2013,2010-08-04 00:00:00 UTC,Stable,Terrestrial,Neotropical,Global
1828505,187830,Raorchestes chromasynchysi,Vulnerable,2012,2011-08-02 00:00:00 UTC,Stable,Terrestrial,Indomalayan,Global
1834942,187916,Schistura thanho,Endangered,2012,2010-08-30 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1835517,187923,Yasuhikotakia nigrolineata,Vulnerable,2012,2012-04-27 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1855766,18825,Ptychobranchus greenii,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1855999,18826,Ptychobranchus jonesi,Critically Endangered,2012,2012-06-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1857376,188319,Neopomacentrus aquadulcis,Endangered,2012,2010-11-19 00:00:00 UTC,Decreasing,Marine,Oceanian,Global
1868736,188397,Altrichthys curatus,Vulnerable,2017,2010-11-15 00:00:00 UTC,Decreasing,Marine,,Global
1880318,188472,Altrichthys azurelineatus,Vulnerable,2017,2010-11-15 00:00:00 UTC,Decreasing,Marine,,Global
1888295,188528,Amblyglyphidodon batunai,Vulnerable,2017,2010-11-15 00:00:00 UTC,Decreasing,Marine,,Global
1890998,188546,Amblyglyphidodon ternatensis,Vulnerable,2017,2010-11-15 00:00:00 UTC,Decreasing,Marine,,Global
1924473,189371,Alasmidonta triangulata,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1928059,189539,Elliptio roanokensis,Vulnerable,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1929459,18960,Pyrgulopsis bruneauensis,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1929774,18961,Marstonia castor,Critically Endangered,2012,2012-04-11 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1931339,189659,Elimia bellacrenata,Critically Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1932107,189675,Neritina granosa,Vulnerable,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)|Marine,Oceanian,Global
1932266,189676,Juga occata,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1932644,189681,Pyrgulopsis ventricosa,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1932862,189690,Quadrula intermedia,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1933309,189694,Physa zionis,Vulnerable,2012,2012-03-05 00:00:00 UTC,Stable,Freshwater (=Inland waters),Nearctic,Global
1939134,18985,Pyrgulopsis roswellensis,Vulnerable,2012,2012-03-26 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1939293,18988,Pyrgulopsis thermalis,Critically Endangered,2012,2012-03-14 00:00:00 UTC,Stable,Freshwater (=Inland waters),Nearctic,Global
1939580,18990,Pyrgulopsis trivialis,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1939708,18991,Pyrgulopsis bernardina,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic|Neotropical,Global
1941553,190138,Rhomboplites aurorubens,Vulnerable,2016,2015-10-10 00:00:00 UTC,Decreasing,Marine,,Global
1954826,19056,Fusconaia mitchelli,Critically Endangered,2014,2014-03-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1956551,19070,Rafetus euphraticus,Endangered,2017,2016-05-28 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Palearctic,Global
1961657,190941,Anodonthyla emilei,Endangered,2015,2014-11-27 00:00:00 UTC,Decreasing,Terrestrial,Afrotropical,Global
1964135,190980,Ectopoglossus confusus,Endangered,2018,2016-07-18 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Neotropical,Global
1964861,190987,Bufo eichwaldi,Vulnerable,2012,2011-03-15 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Palearctic,Global
1965805,190994,Limnonectes megastomias,Vulnerable,2017,2015-09-22 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global
1965932,190997,Odorrana geminata,Vulnerable,2015,2011-08-26 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global
1966413,191005,Rhaebo andinophrynoides,Vulnerable,2018,2016-08-05 00:00:00 UTC,Decreasing,Terrestrial,Neotropical,Global
1970304,191113,Atherinella ammophila,Endangered,2019,2018-11-13 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1970666,191129,Chirostoma aculeatum,Critically Endangered,2019,2018-10-16 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1970673,191130,Chirostoma chapalae,Vulnerable,2019,2018-09-28 00:00:00 UTC,Stable,Freshwater (=Inland waters),Neotropical,Global
1970680,191131,Chirostoma charari,Critically Endangered,2019,2018-02-23 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1971275,191151,Chirostoma estor,Endangered,2019,2018-02-23 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1971329,191154,Chirostoma humboldtianum,Vulnerable,2019,2018-04-03 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1971590,191163,Chirostoma lucius,Endangered,2019,2018-04-04 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1972124,191178,Chirostoma mezquital,Endangered,2019,2018-10-02 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1972211,191181,Chirostoma patzcuaro,Critically Endangered,2019,2018-02-23 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1972380,191187,Chirostoma riojai,Critically Endangered,2019,2018-06-27 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1972387,191188,Chirostoma sphyraena,Endangered,2019,2018-09-28 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic|Neotropical,Global
