assessmentId,internalTaxonId,scientificName,redlistCategory,yearPublished,assessmentDate,populationTrend,systems
1306343,17026,Phocarctos hookeri,Endangered,2015,2014-11-18 00:00:00 UTC,Decreasing,Terrestrial|Marine
1316202,170526,Pelochelys signifera,Vulnerable,2018,2018-03-29 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)|Marine
1316719,17081,Mesoclemmys hogei,Critically Endangered,2016,2016-02-25 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)
1317317,170836,Gyralina ermonae,Vulnerable,2017,2016-09-22 00:00:00 UTC,Stable,Terrestrial
1317331,170837,Cryptella alegranzae,Critically Endangered,2017,2016-11-21 00:00:00 UTC,Decreasing,Terrestrial
1317448,170840,Zonites graecus,Endangered,2017,2016-02-27 00:00:00 UTC,Decreasing,Terrestrial
1317518,170845,Macedonica martae,Critically Endangered,2017,2015-12-15 00:00:00 UTC,Decreasing,Terrestrial
1317864,170863,Zonites labiosus,Endangered,2017,2016-06-02 00:00:00 UTC,Decreasing,Terrestrial
1317976,170871,Amphorella hypselia,Vulnerable,2017,2016-12-02 00:00:00 UTC,Stable,Terrestrial
1318810,170928,Zonites oertzeni,Endangered,2017,2016-06-02 00:00:00 UTC,Decreasing,Terrestrial
1319618,170983,Lehmannia medioflagellata,Vulnerable,2017,2016-06-13 00:00:00 UTC,Stable,Terrestrial
1319856,171000,Montenegrina stankovici,Vulnerable,2017,2016-06-19 00:00:00 UTC,Stable,Terrestrial
1320304,171033,Charpentieria grohmanniana,Endangered,2017,2016-06-03 00:00:00 UTC,Decreasing,Terrestrial
1320598,171054,Doraegopis carinatus,Vulnerable,2017,2016-09-21 00:00:00 UTC,Stable,Terrestrial
1321172,171095,Limax dobrogicus,Vulnerable,2017,2016-06-14 00:00:00 UTC,Stable,Terrestrial
1321494,171117,Doraegopis boeoticus,Endangered,2017,2016-09-20 00:00:00 UTC,Stable,Terrestrial
1321886,171145,Arion iratii,Vulnerable,2017,2016-06-22 00:00:00 UTC,Decreasing,Terrestrial
1322126,171158,Gyralina tarabosensis,Vulnerable,2017,2016-09-26 00:00:00 UTC,Stable,Terrestrial
1322196,171163,Alopia meschendorferi,Vulnerable,2017,2016-11-08 00:00:00 UTC,Stable,Terrestrial
1322352,171172,Zonites messenicus,Endangered,2017,2016-02-27 00:00:00 UTC,Decreasing,Terrestrial
1322772,171203,Amphorella tuberculata,Endangered,2017,2016-11-27 00:00:00 UTC,Decreasing,Terrestrial
1322956,171214,Macedonica zilchi,Vulnerable,2017,2015-12-15 00:00:00 UTC,Decreasing,Terrestrial
1323628,171264,Protoherilla mirabilis,Vulnerable,2017,2016-10-04 00:00:00 UTC,Stable,Terrestrial
1323852,171280,Zonites kobelti,Endangered,2017,2016-06-02 00:00:00 UTC,Decreasing,Terrestrial
1325116,171365,Gyralina tsatsae,Vulnerable,2017,2016-09-22 00:00:00 UTC,Stable,Terrestrial
1325228,171373,Doraegopis subaii,Vulnerable,2017,2016-09-21 00:00:00 UTC,Stable,Terrestrial
1325682,171404,Hypnophila emiliana,Vulnerable,2017,2016-06-16 00:00:00 UTC,Stable,Terrestrial
1325724,171408,Charpentieria eminens,Endangered,2017,2016-05-16 00:00:00 UTC,Decreasing,Terrestrial
1326216,171441,Zonites euboeicus,Endangered,2017,2016-06-02 00:00:00 UTC,Decreasing,Terrestrial
1326328,171450,Zonites algirus,Vulnerable,2017,2017-10-11 00:00:00 UTC,Stable,Terrestrial
1326454,171459,Cryptella famarae,Vulnerable,2017,2016-11-21 00:00:00 UTC,Decreasing,Terrestrial
1326482,171461,Gyralina hausdorfi,Vulnerable,2017,2016-10-02 00:00:00 UTC,Stable,Terrestrial
1327205,171498,Macedonica pinteri,Vulnerable,2017,2016-11-09 00:00:00 UTC,Decreasing,Terrestrial
1327489,171515,Gyralina mljetica,Vulnerable,2017,2016-09-22 00:00:00 UTC,Stable,Terrestrial
1327966,171548,Oxychilus pilula,Endangered,2017,2016-05-23 00:00:00 UTC,Decreasing,Terrestrial
1328148,171561,Tsoukatosia liae,Vulnerable,2017,2016-09-18 00:00:00 UTC,Stable,Terrestrial
1328358,171576,Lehmannia vrancensis,Vulnerable,2017,2016-06-14 00:00:00 UTC,Stable,Terrestrial
1328651,171595,Charpentieria ferrox,Critically Endangered,2017,2016-05-15 00:00:00 UTC,Decreasing,Terrestrial
1329337,171645,Doraegopis parnonicus,Vulnerable,2017,2016-09-21 00:00:00 UTC,Stable,Terrestrial
1329393,171649,Charpentieria nobilis,Endangered,2017,2016-05-15 00:00:00 UTC,Decreasing,Terrestrial
1329972,171688,Cryptella auriculata,Vulnerable,2017,2016-11-21 00:00:00 UTC,Decreasing,Terrestrial
1330224,171706,Gyralina velasensis,Vulnerable,2017,2016-09-26 00:00:00 UTC,Stable,Terrestrial
1330830,171745,Charpentieria crassicostata,Critically Endangered,2017,2016-05-15 00:00:00 UTC,Decreasing,Terrestrial
1331066,171757,Ruthenica gallinae,Vulnerable,2017,2016-06-13 00:00:00 UTC,Stable,Terrestrial
1338222,171994,Spelaeodiscus bulgaricus,Vulnerable,2017,2016-09-14 00:00:00 UTC,Stable,Terrestrial
1339018,172024,Phrynops williamsi,Vulnerable,2018,2018-02-19 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)
1344219,172525,Kinyongia vosseleri,Endangered,2014,2013-08-28 00:00:00 UTC,Decreasing,Terrestrial
1344396,172529,Rhampholeon temporalis,Endangered,2014,2013-08-27 00:00:00 UTC,Decreasing,Terrestrial
1344413,172530,Nadzikambia mlanjensis,Endangered,2014,2013-08-26 00:00:00 UTC,Decreasing,Terrestrial
1344495,172532,Rhampholeon platyceps,Endangered,2014,2013-08-26 00:00:00 UTC,Decreasing,Terrestrial
1344917,172545,Kinyongia matschiei,Endangered,2014,2013-08-26 00:00:00 UTC,Decreasing,Terrestrial
1345654,172568,Rhampholeon chapmanorum,Critically Endangered,2014,2013-08-20 00:00:00 UTC,Decreasing,Terrestrial
1345671,172569,Kinyongia excubitor,Vulnerable,2014,2013-08-27 00:00:00 UTC,Stable,Terrestrial
1345774,172571,Trioceros quadricornis,Vulnerable,2015,2015-08-10 00:00:00 UTC,Decreasing,Terrestrial
1345933,172572,Trioceros pfefferi,Endangered,2015,2015-07-02 00:00:00 UTC,Decreasing,Terrestrial
1345983,172574,Kinyongia multituberculata,Endangered,2014,2013-08-21 00:00:00 UTC,Decreasing,Terrestrial
1375696,173021,Otocryptis beddomii,Endangered,2013,2010-12-27 00:00:00 UTC,Stable,Terrestrial
1380378,17315,Pipistrellus maderensis,Vulnerable,2016,2016-04-25 00:00:00 UTC,Decreasing,Terrestrial
1408337,17398,Pisidium sanguinichristi,Vulnerable,2012,2012-03-05 00:00:00 UTC,Stable,Freshwater (=Inland waters)
1414101,174471,Brachylophus bulabula,Endangered,2012,2012-06-19 00:00:00 UTC,Decreasing,Terrestrial
1414514,174477,Ctenosaura nolascensis,Vulnerable,2012,2012-02-26 00:00:00 UTC,Stable,Terrestrial
1422889,175363,Callulina dawida,Critically Endangered,2014,2014-07-25 00:00:00 UTC,Decreasing,Terrestrial
1424721,17602,Plecotus teneriffae,Vulnerable,2016,2016-04-25 00:00:00 UTC,Decreasing,Terrestrial
1436487,176251,Celestus scansorius,Endangered,2019,2012-05-08 00:00:00 UTC,Decreasing,Terrestrial
1437185,176285,Arthroleptis nguruensis,Vulnerable,2012,2010-11-22 00:00:00 UTC,Stable,Terrestrial
1438907,176325,Achalinus jinggangensis,Critically Endangered,2014,2011-08-31 00:00:00 UTC,Decreasing,Terrestrial
1443222,17666,Pleurobema curtum,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1443931,17671,Pleurobema taitianum,Endangered,2012,2012-03-30 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1447123,17679,Pleurobema decisum,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1450114,17685,Pleurobema hanleyianum,Critically Endangered,2012,2012-03-30 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1452398,17690,Pleurobema pyriforme,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1453947,17692,Pleurobema rubellum,Critically Endangered,2012,2012-04-01 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1459743,17699,Pleurocera corpulenta,Critically Endangered,2012,2012-06-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1462005,17701,Pleurocera foremani,Endangered,2012,2012-03-27 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1485231,177425,Omoadiphas texiguatensis,Critically Endangered,2013,2012-05-08 00:00:00 UTC,Decreasing,Terrestrial
1487908,177486,Micrurus ruatanus,Critically Endangered,2013,2012-05-08 00:00:00 UTC,Decreasing,Terrestrial
1488437,177488,Naja siamensis,Vulnerable,2012,2011-08-31 00:00:00 UTC,Decreasing,Terrestrial
1491874,177540,Ophiophagus hannah,Vulnerable,2012,2011-09-01 00:00:00 UTC,Decreasing,Terrestrial
1494264,17762,Poblana alchichica,Critically Endangered,2019,2018-12-03 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1494296,17763,Poblana ferdebueni,Critically Endangered,2019,2018-05-03 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
