internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName
59606,Ichthyophis weberi,ANIMALIA,CHORDATA,GYMNOPHIONA,AMPHIBIA,ICHTHYOPHIIDAE,Ichthyophis,weberi
62203,Pseudorasbora pumila,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Pseudorasbora,pumila
41226,Alcalus mariae,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CERATOBATRACHIDAE,Alcalus,mariae
54471,Ansonia latidisca,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Ansonia,latidisca
54871,Pelophryne rhopophilia,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Pelophryne,rhopophilia
57909,Oreophryne celebensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Oreophryne,celebensis
57925,Oreophryne monticola,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Oreophryne,monticola
57932,Oreophryne variabilis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Oreophryne,variabilis
58327,Limnonectes arathooni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DICROGLOSSIDAE,Limnonectes,arathooni
58359,Limnonectes microtympanum,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DICROGLOSSIDAE,Limnonectes,microtympanum
58654,Chalcorana macrops,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Chalcorana,macrops
58856,Philautus ingeri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Philautus,ingeri
58857,Philautus jacobsoni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Philautus,jacobsoni
58861,Philautus kerangae,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Philautus,kerangae
59006,Rhacophorus monticola,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Rhacophorus,monticola
79098509,Microhyla orientalis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Microhyla,orientalis
79128785,Rhacophorus bengkuluensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Rhacophorus,bengkuluensis
88127659,Rhacophorus indonesiensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Rhacophorus,indonesiensis
940,Hypsirhynchus ater,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Hypsirhynchus,ater
941,Alsophis rijgersmaei,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Alsophis,rijgersmaei
942,Alsophis rufiventris,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Alsophis,rufiventris
953,Alticola montosa,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Alticola,montosa
2787,Bettongia tropica,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,POTOROIDAE,Bettongia,tropica
2816,Biswamoyopterus biswasi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Biswamoyopterus,biswasi
3333,Bunomys prolatus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Bunomys,prolatus
4095,Celestus fowleri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,ANGUIDAE,Celestus,fowleri
4096,Celestus microblepharis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,ANGUIDAE,Celestus,microblepharis
4681,Chiropodomys karlkoopmani,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Chiropodomys,karlkoopmani
4997,Cnemidophorus vanzoi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,TEIIDAE,Cnemidophorus,vanzoi
5558,Crocidura ansellorum,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,ansellorum
5565,Crocidura eisentrauti,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,eisentrauti
5569,Crocidura lanosa,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,lanosa
5572,Crocidura lucina,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,lucina
5584,Crocidura telfordi,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,telfordi
5594,Crocidura thomensis,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,thomensis
5595,Crocidura andamanensis,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,andamanensis
5604,Crocidura jenkinsi,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,jenkinsi
5610,Crocidura nicobarica,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,nicobarica
5622,Crocidura bottegoides,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,bottegoides
5633,Crocidura harenna,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,harenna
6270,Dasymys montanus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Dasymys,montanus
6313,Delanymys brooksi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Delanymys,brooksi
8032,Eropeplus canus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Eropeplus,canus
9459,Grammomys minnae,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Grammomys,minnae
10280,Hybomys lunaris,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Hybomys,lunaris
10591,Hylomyscus baeri,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Hylomyscus,baeri
10636,Hyosciurus ileile,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Hyosciurus,ileile
10846,Iomys sipora,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Iomys,sipora
10863,Isoodon auratus,ANIMALIA,CHORDATA,PERAMELEMORPHIA,MAMMALIA,PERAMELIDAE,Isoodon,auratus
11050,Komodomys rintjanus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Komodomys,rintjanus
11202,Lamottemys okuensis,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Lamottemys,okuensis
12646,Macrotarsomys ingens,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Macrotarsomys,ingens
12815,Marmosa xerophila,ANIMALIA,CHORDATA,DIDELPHIMORPHIA,MAMMALIA,DIDELPHIDAE,Marmosa,xerophila
12898,Maxomys inflatus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Maxomys,inflatus
12902,Maxomys pagensis,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Maxomys,pagensis
