internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
168197,Samoana dryas,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PARTULIDAE,Samoana,dryas,,,,,"Crampton &amp; Cooke, 1953",
168202,Samoana margaritae,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PARTULIDAE,Samoana,margaritae,,,,,"Crampton &amp; Cooke, 1953",
168210,Rhombuniopsis tauriformis,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Rhombuniopsis,tauriformis,,,,,"Fulton, 1906","This species is also described as <span style=""font-style: italic;"">Unio</span> sp. A in Tchang-Si (1948)."
168212,Margarya bicostata,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,VIVIPARIDAE,Margarya,bicostata,,,,,"Tchang &amp; Tsi, 1949","Tchang-Si and Tsi, Chung-Yen named this species in their 1949 paper, regarding 
it as a subspecies. Xia (1982) reviewed the <em>Margarya</em> species in Lake 
Dianchi, and believed this to be a separate species. Xia is followed here."
168213,Margarya melanoides,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,VIVIPARIDAE,Margarya,melanoides,,,,,"Nevill, 1877",
168214,Margarya monodi,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,VIVIPARIDAE,Margarya,monodi,,,,,"Dautzenberg &amp; Fischer, 1906",
168215,Margarya yangtsunghaiensis,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,VIVIPARIDAE,Margarya,yangtsunghaiensis,,,,,"Tschang &amp; Tsi, 1949",
168255,Clarias magur,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CLARIIDAE,Clarias,magur,,,,,"(Hamilton, 1822)",<em>Clarias magur</em> was described by Hamilton (1822) from gangetic provinces. &#160;The identity of the southern form of <em>Clarias</em> requires verification. &#160;The range of distribution of <em>Clarias batrachus</em> is now restricted to Sunda Islands (type locality Java) (Ng and Kottelat 2008).
168283,Garra litanensis,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Garra,litanensis,,,,,"Vishwanath, 1993","Vishwanath (1993) described <span style=""font-style: italic;"">Garra litanensis</span> from Manipur (Chindwin River basin), India. The species treated as valid by Kullander and Fang (2004) and Nebeshwar <span style=""font-style: italic;"">et al.</span> (2009)."
168303,Barilius ngawa,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Barilius,ngawa,,,,,"Vishwanath &amp; Manojkumar, 2002","Vishwanath and Manojkumar (2002) described the species from Chindwin basin, Manipur, India.<span style=""font-style: italic;""><br/></span>"
168362,Sympetrum gracile,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LIBELLULIDAE,Sympetrum,gracile,,,,,"Oguma, 1915",
168564,Schizothorax nepalensis,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Schizothorax,nepalensis,,,,,"Terashima, 1984",
168577,Devario naganensis,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Devario,naganensis,,,,,"(Chaudhuri, 1912)","<p>Chaudhuri (1912) described<span style=""font-style: italic;""></span> <span style=""font-style: italic;"">Danio naganensis</span> from Manipur. Fang (2001) treated it under genus <span style=""font-style: italic;"">Devario.</span> <span style=""font-style: italic;""></span><br/></p>"
169266,Gynacantha constricta,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,AESHNIDAE,Gynacantha,constricta,,,,,"Hämäläinen, 1991",
169274,Rhinocypha dorsosanguinea,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,CHLOROCYPHIDAE,Rhinocypha,dorsosanguinea,,,,,"Lieftinck, 1961",
169279,Hemicordulia apoensis,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,CORDULIIDAE,Hemicordulia,apoensis,,,,,"Asahina, 1980",
169293,Coeliccia exoleta,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,PLATYCNEMIDIDAE,Coeliccia,exoleta,,,,,"Lieftinck, 1961",
169300,Drepanosticta centrosaurus,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,PLATYSTICTIDAE,Drepanosticta,centrosaurus,,,,,"van Tol, 2005",
169382,Amphilophus zaliosus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CICHLIDAE,Amphilophus,zaliosus,,,,,"(Barlow, 1976)",
169392,Atherinella jiloaensis,ANIMALIA,CHORDATA,ATHERINIFORMES,ACTINOPTERYGII,ATHERINOPSIDAE,Atherinella,jiloaensis,,,,,"(Bussing, 1979)",
169393,Amphilophus margaritifer,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CICHLIDAE,Amphilophus,margaritifer,,,,,"(Günther, 1862)",
169400,Gambusia dominicensis,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,POECILIIDAE,Gambusia,dominicensis,,,,,"Regan, 1913",
169464,Haplochromis crocopeplus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CICHLIDAE,Haplochromis,crocopeplus,,,,,"Greenwood &amp; Barel, 1978",
169497,Serpenticobitis cingulata,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,COBITIDAE,Serpenticobitis,cingulata,,,,,"Roberts, 1997",
169498,Rhinogobius chiengmaiensis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,GOBIIDAE,Rhinogobius,chiengmaiensis,,,,,"Fowler, 1934",
169508,Osphronemus exodon,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,OSPHRONEMIDAE,Osphronemus,exodon,,,,,"Roberts, 1994",
169521,Oxygaster pointoni,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Oxygaster,pointoni,,,,,"(Fowler, 1934)",
169524,Epalzeorhynchos munense,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Epalzeorhynchos,munense,,,,,"(Smith, 1934)",
169544,Mystacoleucus lepturus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Mystacoleucus,lepturus,,,,,"Huang, 1979",
